date,avg_top_2,avg_bottom_2,daily_spread,spread_30d_ma
2024-02-15,86.955,55.334999999999994,31.620000000000005,50.785833333333336
2024-02-16,77.1,49.365,27.734999999999992,49.545833333333334
2024-02-17,100.17,54.64,45.53,49.33233333333333
2024-02-18,72.83,39.99,32.839999999999996,49.07283333333334
2024-02-19,90.745,43.474999999999994,47.27000000000001,49.461333333333336
2024-02-20,89.64500000000001,51.035,38.610000000000014,49.986
2024-02-21,83.225,32.845,50.379999999999995,49.34466666666667
2024-02-22,79.22,5.57,73.65,49.151666666666664
2024-02-23,85.225,0.055,85.16999999999999,50.044333333333334
2024-02-24,77.065,34.91,42.155,48.9385
2024-02-25,87.94,47.935,40.004999999999995,49.406
2024-02-26,83.46,52.55,30.909999999999997,49.09616666666667
2024-02-27,108.485,57.11,51.375,49.67366666666667
2024-02-28,101.69,55.114999999999995,46.575,48.73466666666666
2024-02-29,83.77000000000001,47.09,36.68000000000001,48.94833333333334
2024-03-01,91.565,57.985,33.58,47.7125
2024-03-02,91.75,54.69,37.06,47.12649999999999
2024-03-03,85.66,44.675,40.985,46.5855
2024-03-04,104.075,61.53,42.545,46.0155
2024-03-05,108.685,60.21,48.475,46.216
2024-03-06,119.41499999999999,69.32,50.095,45.595000000000006
2024-03-07,104.455,60.974999999999994,43.480000000000004,44.94233333333333
2024-03-08,91.975,13.015,78.96,44.46433333333333
2024-03-09,76.505,-3.085,79.58999999999999,45.1125
2024-03-10,64.335,-9.11,73.445,46.07183333333333
2024-03-11,104.355,49.305,55.050000000000004,46.94633333333333
2024-03-12,129.745,64.565,65.18,47.94283333333333
2024-03-13,96.08,61.58,34.5,47.727833333333336
2024-03-14,102.905,48.775,54.13,48.28933333333334
2024-03-15,87.455,37.605000000000004,49.849999999999994,48.91433333333334
2024-03-16,84.5,16.005,68.495,50.143499999999996
2024-03-17,91.30000000000001,40.980000000000004,50.32000000000001,50.89633333333334
2024-03-18,136.12,57.725,78.39500000000001,51.99183333333334
2024-03-19,130.19,55.595,74.595,53.38366666666666
2024-03-20,163.79500000000002,62.69,101.10500000000002,55.17816666666667
2024-03-21,124.99,58.150000000000006,66.83999999999999,56.119166666666665
2024-03-22,120.15,49.724999999999994,70.42500000000001,56.78733333333333
2024-03-23,71.28,-7.08,78.36,56.94433333333333
2024-03-24,74.95,0.0,74.95,56.60366666666667
2024-03-25,162.225,62.07,100.155,58.537000000000006
2024-03-26,100.525,19.42,81.105,59.907000000000004
2024-03-27,122.435,57.11,65.325,61.05416666666667
2024-03-28,82.63,0.045,82.585,62.094500000000004
2024-03-29,103.71000000000001,10.05,93.66000000000001,63.664
2024-03-30,85.82,10.805,75.01499999999999,64.94183333333334
2024-03-31,103.305,2.045,101.26,67.19783333333334
2024-04-01,62.69,-0.01,62.699999999999996,68.0525
2024-04-02,95.13499999999999,-1.03,96.16499999999999,69.89183333333334
2024-04-03,120.61500000000001,53.265,67.35000000000001,70.71866666666666
2024-04-04,85.62,50.870000000000005,34.75,70.26116666666667
2024-04-05,82.62,-0.05,82.67,71.34700000000001
2024-04-06,71.32,-58.755,130.075,74.2335
2024-04-07,107.39500000000001,-23.424999999999997,130.82,75.96216666666668
2024-04-08,143.54000000000002,58.945,84.59500000000003,76.12899999999999
2024-04-09,88.795,8.02,80.775,76.37333333333332
2024-04-10,191.17000000000002,7.59,183.58,80.65766666666667
2024-04-11,136.09,0.715,135.375,82.99749999999999
2024-04-12,125.03999999999999,-0.035,125.07499999999999,86.01666666666667
2024-04-13,69.61,-52.504999999999995,122.115,88.28283333333334
2024-04-14,116.25999999999999,-60.06,176.32,92.49849999999999
2024-04-15,161.195,1.03,160.165,95.55416666666666
2024-04-16,119.255,0.435,118.82,97.8375
2024-04-17,169.935,77.37,92.565,98.30983333333333
2024-04-18,143.495,65.765,77.73,98.41433333333333
2024-04-19,72.52000000000001,44.75,27.77000000000001,95.96983333333333
2024-04-20,93.67500000000001,11.440000000000001,82.23500000000001,96.48299999999999
2024-04-21,93.16499999999999,-0.31,93.475,97.25133333333333
2024-04-22,167.505,73.92,93.585,97.75883333333333
2024-04-23,158.76999999999998,77.36,81.40999999999998,97.97416666666666
2024-04-24,139.32,75.695,63.625,96.75649999999999
2024-04-25,146.69,67.53999999999999,79.15,96.69133333333333
2024-04-26,136.74,67.055,69.685,96.83666666666666
2024-04-27,116.08500000000001,-0.03,116.11500000000001,97.95433333333334
2024-04-28,78.005,-62.575,140.57999999999998,99.51833333333335
2024-04-29,192.305,34.6,157.705,102.27466666666666
2024-04-30,127.21000000000001,10.65,116.56,102.78466666666667
2024-05-01,50.355000000000004,-120.035,170.39,106.37433333333334
2024-05-02,86.55,-2.96,89.50999999999999,106.15249999999999
2024-05-03,113.945,58.225,55.71999999999999,105.76483333333333
2024-05-04,128.66,13.934999999999999,114.725,108.43066666666667
2024-05-05,109.725,-0.535,110.25999999999999,109.35033333333332
2024-05-06,140.32,74.8,65.52,107.1985
2024-05-07,142.45,67.98,74.46999999999998,105.32016666666667
2024-05-08,130.98,66.765,64.21499999999999,104.64083333333333
2024-05-09,128.23,-1.69,129.92,106.279
2024-05-10,153.515,0.02,153.49499999999998,105.27616666666667
2024-05-11,112.99000000000001,-23.11,136.10000000000002,105.30033333333334
2024-05-12,71.84,-134.14999999999998,205.98999999999998,107.99749999999999
2024-05-13,142.59,-2.575,145.165,108.76583333333333
2024-05-14,88.685,-41.305,129.99,107.2215
2024-05-15,105.72,-10.565,116.285,105.75883333333333
2024-05-16,102.985,-0.435,103.42,105.2455
2024-05-17,103.94,29.92,74.02,104.62733333333334
2024-05-18,127.22,-2.355,129.575,106.35549999999999
2024-05-19,118.25999999999999,-12.565000000000001,130.825,109.79066666666668
2024-05-20,128.115,-0.2,128.315,111.32666666666665
2024-05-21,124.98,29.905,95.075,111.38000000000001
2024-05-22,150.95,55.129999999999995,95.82,111.4545
2024-05-23,168.17000000000002,48.905,119.26500000000001,112.71633333333334
2024-05-24,127.495,86.005,41.49000000000001,111.9785
2024-05-25,134.435,0.01,134.425,113.821
2024-05-26,119.91999999999999,-17.27,137.19,116.07116666666667
2024-05-27,204.07,73.695,130.375,116.5465
2024-05-28,137.18,55.260000000000005,81.92,114.59116666666667
2024-05-29,141.88,47.87,94.00999999999999,112.468
2024-05-30,149.08999999999997,62.97,86.11999999999998,111.45333333333333
2024-05-31,112.055,66.12,45.935,107.30483333333332
2024-06-01,85.17,4.359999999999999,80.81,107.01483333333334
2024-06-02,107.97,-17.755,125.725,109.34833333333334
2024-06-03,207.035,69.66,137.375,110.10333333333332
2024-06-04,206.59,43.894999999999996,162.695,111.85116666666666
2024-06-05,156.96,28.18,128.78,113.95983333333334
2024-06-06,165.85,21.865000000000002,143.98499999999999,116.277
2024-06-07,154.3,15.245000000000001,139.055,118.77166666666668
2024-06-08,99.66,-26.865000000000002,126.525,118.6585
2024-06-09,113.55,-34.915,148.465,118.49083333333334
2024-06-10,165.695,58.515,107.17999999999999,117.52683333333333
2024-06-11,125.005,0.015,124.99,114.82683333333333
2024-06-12,154.5,40.2,114.3,113.798
2024-06-13,176.095,45.155,130.94,113.82966666666667
2024-06-14,131.655,40.870000000000005,90.785,112.97966666666666
2024-06-15,82.1,-72.735,154.83499999999998,114.6935
2024-06-16,122.31,-32.84,155.15,117.39783333333334
2024-06-17,205.08499999999998,40.655,164.42999999999998,118.55966666666667
2024-06-18,165.03,51.095,113.935,117.99666666666667
